0,1,2,3,4
Dataset name,Variables,Area covered,Resolution,References
Global Map of Irrigation Areas,Area equipped for irrigation,Global,5o,"Siebert et al., 2005"
-,Area equipped for irrigation,Global,0.0833o,"Siebert et al., 2013"
MIRCA2000,26 irrigated/ rainfed crops,Global,0.0833o,"Portmann et al., 2010"
MODIS-based map,Irrigated area,Continental US,500 m,"Ozdogan and Gutman, 2008"
MIrAD-US,Irrigated area,Continental US,250 m,"Pervez and Brown, 2010; Brown and Pervez, 2014"
