0,1,2,3,4,5,6
SREX referenc,e Sub-regio,n Irrigation rate (WI mm,n Irrigation rate (WI mm,n Irrigation rate (WI mm,) Perio,d References
,- Globa,"l 1.5
5.3",10−5,,1972–200,"Leng et al., 2017"
,,"10−6
5.3","10−6
5.3",,2000,"Krakauer et al., 2016"
