0,1,2,3,4,5
SA,S India,5.8,,AMIPe,"de Vrese et al., 2018"
,India,3.5,10−5,as Sacks et al. (2009,"Lee and Ngan, 2011"
,East Gange,s 1.8,10−5,1990–200,"Tuinenburg et al., 2014"
,West Gange,s 2.7,10−5,1990–200,"Tuinenburg et al., 2014"
,,4.8,10−6,1981–201,"Thiery et al., 2017"
SE,A,3.1,10−7,1981–201,"Thiery et al., 2017"
