0,1,2,3,4,5,6
Year,1954,1957,1962,1965,1980,1997
Scheme name,Wonii Sugar estate,Sille state farm,Merti and Bilated,Metahara sugar estate,Melka Werer Melka Sedi,Fincha
Area (ha),5900,1500,"1638, 1000","11,000","10,000",8500
