0,1,2,3,4,5,6
Plans,Baseline,Target (achieved %),Baseline,Target (achieved %),Baseline,Target (achieved %)
Plans,2005/06,2009/10,2009/10,2014/15,2015/16,2019/20
PASDEP,"51,955","247,130 (51%)",,,,
"GTP I
GTP II",,,"127,242","658,337 (43%)","283,084","954,000 1 (51%)"
