WAF,Niger river,3.4 · 10−5,1985–1990,"Marcella and Eltahir, 2014"
WAS,-,1.3 10−6·,1981–2010,"Thiery et al., 2017"
SAU,South-Eastern Australia,1.6− 2.1 10−5·,2005–2011,"Decker et al., 2017"
SAS,India,5.8 · 10−6,AMIPe,"de Vrese et al., 2018"
,India,3.5 · 10−5,as Sacks et al. (2009),"Lee and Ngan, 2011"
,East Ganges,1.8 · 10−5,1990–2000,"Tuinenburg et al., 2014"
,West Ganges,2.7 · 10−5,1990–2000,"Tuinenburg et al., 2014"
,-,4.8 10−6·,1981–2010,"Thiery et al., 2017"
SEA,-,3.1 −7· 10,1981–2010,"Thiery et al., 2017"
