Threshold type,Reference value,CaNopy interaction,References
Timing,Mapa,No,"Sacks et al., 2009; Lee et al., 2011; Krakauer et al., 2016"
,Mapa and temporal variation,No,"Cook et al., 2015, 2020"
,5.2 10−4· /sensitivity,Yes,"Valmassoi et al., 2020a"
,5.2 −4· 10 /sensitivity,No,"Valmassoi et al., 2020a"
Soil Moisture availability,0.5,Yes,"Ozdogan et al., 2009; Qian et al., 2013"
