California Central Valley,2.6 10−5 a·,Unnamed: 0,"Siebert and Döll, 2010","Lo and Famiglietti, 2013"
,4.8225 −5· 10,,Not mentioned,"Kueppers et al., 2008"
Central Great Plains,1.4 · 10−3,,Not mentioned,"Lawston et al., 2015"
Ogalla Aquifer,2 · 10−4,,Not mentioned,"Harding et al., 2015"
Continental United States,2 10−4·,,Not mentioned,"Lu et al., 2015"
